agency,facility,legs,chargeable_legs,revenue
"K3 Maritime","(never berthed)",2,0,0
"Lighthouse","Valero St Charles",24,24,84000
"Lighthouse","MPLX Garyville",11,11,38500
"Lighthouse","PBF Chalmette",8,8,28000
"Lighthouse","Exxon Baton Rouge",5,5,17500
"Lighthouse","Shell Norco",5,5,17500
"Lighthouse","IMTT St Rose",3,3,10500
"Lighthouse","MPLX Mt Airy",3,3,10500
"Lighthouse","Valero Meraux",3,3,10500
"Lighthouse","Americas Styrenics",1,1,3500
"Lighthouse","Cornerstone",1,1,3500
"Lighthouse","Genesis Baton Rouge",1,1,3500
"Lighthouse","Magellan Marrero",1,1,3500
"Lighthouse","Willow Glen",1,1,3500
"Lott","IMTT St Rose",47,47,164500
"Lott","Blackwater Harvey",38,38,133000
"Lott","MPLX Garyville",19,19,66500
"Lott","Genesis Baton Rouge",4,4,14000
"Lott","Baton Rouge General Cargo",1,1,3500
"Lott","(never berthed)",2,0,0
"Maritime Endeavors","Valero St Charles",18,18,63000
"Maritime Endeavors","Plains St James",10,10,35000
"Maritime Endeavors","CHS Myrtle Grove",3,3,31500
"Maritime Endeavors","Cargill Westwego",3,3,31500
"Maritime Endeavors","Zen-Noh",3,3,31500
"Maritime Endeavors","Ergon St James",7,7,24500
"Maritime Endeavors","Valero Meraux",7,7,24500
"Maritime Endeavors","LDC Port Allen",2,2,21000
"Maritime Endeavors","MPLX Garyville",6,6,21000
"Maritime Endeavors","PBF Chalmette",5,5,17500
"Maritime Endeavors","Exxon Baton Rouge",4,4,14000
"Maritime Endeavors","Cargill Reserve",1,1,10500
"Maritime Endeavors","Convent Marine Terminal",1,1,10500
"Maritime Endeavors","Cooper Darrow",1,1,10500
"Maritime Endeavors","IMTT St Rose",3,3,10500
"Maritime Endeavors","Henry Clay Ave",2,2,10000
"Maritime Endeavors","Chevron Empire",2,2,7000
"Maritime Endeavors","MPLX Mt Airy",2,2,7000
"Maritime Endeavors","Shell Norco",2,2,7000
"Maritime Endeavors","Nashville Ave",1,1,5000
"Maritime Endeavors","LBC Sunshine",1,1,3500
"Maritime Endeavors","Stolthaven",1,1,3500
